start_time,start_station,end_station,ladybug_path,foot_total_duration,ladybug_board_time,ladybug_duration,ladybug_total_duration,transportation
661.05,가천대_반도체대학,가천대_학생회관,가천대_반도체대학 -> 가천대_학생회관,3.5748,665.0,1.051764705882353,5.001764705882351,foot
679.0833333333334,가천대_총학생회,가천대_반도체대학,가천대_총학생회 -> 가천대_일반대학원 -> 가천대_반도체대학,9.3252,681.3,2.743764705882353,4.960431372548896,ladybug
641.35,가천대_반도체대학,가천대_일반대학원,가천대_반도체대학 -> 가천대_학생회관 -> 가천대_교육대학원 -> 가천대_ai공학관 -> 가천대_총학생회 -> 가천대_일반대학원,4.2336,645.0,5.900117647058822,9.550117647058755,foot
632.15,가천대_반도체대학,가천대_ai공학관,가천대_반도체대학 -> 가천대_학생회관 -> 가천대_교육대학원 -> 가천대_ai공학관,11.779200000000001,635.0,3.6808235294117635,6.530823529411805,ladybug
618.35,가천대_반도체대학,가천대_교육대학원,가천대_반도체대학 -> 가천대_학생회관 -> 가천대_교육대학원,6.7644,625.0,2.1091764705882348,8.759176470588159,foot
653.1833333333333,가천대_반도체대학,가천대_ai공학관,가천대_반도체대학 -> 가천대_학생회관 -> 가천대_교육대학원 -> 가천대_ai공학관,11.779200000000001,655.0,3.6808235294117635,5.497490196078502,ladybug
636.1,가천대_학생회관,가천대_반도체대학,가천대_학생회관 -> 가천대_교육대학원 -> 가천대_ai공학관 -> 가천대_총학생회 -> 가천대_일반대학원 -> 가천대_반도체대학,3.5748,636.6,6.0938823529411765,6.593882352941137,foot
670.1,가천대_반도체대학,가천대_학생회관,가천대_반도체대학 -> 가천대_학생회관,3.5748,675.0,1.051764705882353,5.951764705882283,foot
654.45,가천대_반도체대학,가천대_학생회관,가천대_반도체대학 -> 가천대_학생회관,3.5748,655.0,1.051764705882353,1.6017647058822604,ladybug
609.5833333333334,가천대_반도체대학,가천대_학생회관,가천대_반도체대학 -> 가천대_학생회관,3.5748,615.0,1.051764705882353,6.468431372548935,foot
658.9333333333333,가천대_반도체대학,가천대_ai공학관,가천대_반도체대학 -> 가천대_학생회관 -> 가천대_교육대학원 -> 가천대_ai공학관,11.779200000000001,665.0,3.6808235294117635,9.747490196078502,ladybug
601.1,가천대_반도체대학,가천대_교육대학원,가천대_반도체대학 -> 가천대_학생회관 -> 가천대_교육대학원,6.7644,605.0,2.1091764705882348,6.009176470588159,ladybug
675.85,가천대_반도체대학,가천대_학생회관,가천대_반도체대학 -> 가천대_학생회관,3.5748,685.0,1.051764705882353,10.201764705882283,foot
704.1666666666666,가천대_반도체대학,가천대_학생회관,가천대_반도체대학 -> 가천대_학생회관,3.5748,705.0,1.051764705882353,1.885098039215677,ladybug
709.25,가천대_반도체대학,가천대_교육대학원,가천대_반도체대학 -> 가천대_학생회관 -> 가천대_교육대학원,6.7644,715.0,2.1091764705882348,7.8591764705881815,foot
